"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[[[Premise]]]]: The new rights are nice enough<SPLIT>[[[[Hypothesis]]]]: [[Everyone]] really likes the newest benefits ","[[[[Premise]]]]: The new rights are nice enough<SPLIT>[[[[Hypothesis]]]]: [[Nobody]] really likes the newest benefits ",0.007919490337371826,0.8569761514663696,2,0,2,36,"Successful"
"[[[[Premise]]]]: This site includes a list of all award winners and a searchable database of Government Executive articles.<SPLIT>[[[[Hypothesis]]]]: The Government Executive articles housed on the website are not [[able]] to be searched.","[[[[Premise]]]]: This site includes a list of all award winners and a searchable database of Government Executive articles.<SPLIT>[[[[Hypothesis]]]]: The Government Executive articles housed on the website are not [[incapable]] to be searched.",0.0023553967475891113,0.7377429008483887,0,2,0,29,"Successful"
"[[[[Premise]]]]: uh i don't know i i have mixed emotions about him uh sometimes i like him but at the same times i love to see somebody beat him<SPLIT>[[[[Hypothesis]]]]: I like him for the most [[part]], but would still [[enjoy]] seeing someone [[beat]] him.","[[[[Premise]]]]: uh i don't know i i have mixed emotions about him uh sometimes i like him but at the same times i love to see somebody beat him<SPLIT>[[[[Hypothesis]]]]: I like him for the most [[portion]], but would still [[cherishes]] seeing someone [[conquering]] him.",0.012951672077178955,0.6551872491836548,1,2,1,75,"Successful"
"[[[[Premise]]]]: yeah i i think my favorite restaurant is always been the one closest  you know the closest as long as it's it meets the minimum criteria you know of good food<SPLIT>[[[[Hypothesis]]]]: My favorite restaurants are [[always]] at least a hundred [[miles]] away from my house. ","[[[[Premise]]]]: yeah i i think my favorite restaurant is always been the one closest  you know the closest as long as it's it meets the minimum criteria you know of good food<SPLIT>[[[[Hypothesis]]]]: My favorite restaurants are [[evenly]] at least a hundred [[klicks]] away from my house. ",0.010765790939331055,0.6019672155380249,0,2,0,50,"Successful"
"[[[[Premise]]]]: i don't know um do you do a lot of camping<SPLIT>[[[[Hypothesis]]]]: I [[know]] [[exactly]].","[[[[Premise]]]]: i don't know um do you do a lot of camping<SPLIT>[[[[Hypothesis]]]]: I [[recognising]] [[truthfully]].",0.000708460807800293,0.9082066416740417,0,2,0,101,"Successful"
"[[[[Premise]]]]: well that would be a help i wish they would do that here we have got so little landfill space left that we're going to run out before the end of this decade and it's really going to be<SPLIT>[[[[Hypothesis]]]]: We [[have]] [[plenty]] of [[space]] in the [[landfill]].","[[[[Premise]]]]: well that would be a help i wish they would do that here we have got so little landfill space left that we're going to run out before the end of this decade and it's really going to be<SPLIT>[[[[Hypothesis]]]]: We [[be]] [[multiple]] of [[spatial]] in the [[dump]].",0.0008383989334106445,0.6671321988105774,0,2,0,38,"Successful"
"[[[[Premise]]]]: yeah i know and i did that all through college and it worked too<SPLIT>[[[[Hypothesis]]]]: I did that all through college but it never [[worked]] ","[[[[Premise]]]]: yeah i know and i did that all through college and it worked too<SPLIT>[[[[Hypothesis]]]]: I did that all through college but it never [[labor]] ",0.0009594559669494629,0.8916381597518921,0,2,0,47,"Successful"
"[[[[Premise]]]]: Calcutta seems to be the only other production center having any pretensions to artistic creativity at all, but ironically you're actually more likely to see the works of Satyajit Ray or Mrinal Sen shown in Europe or North America than in India itself.<SPLIT>[[[[Hypothesis]]]]: [[Most]] of Mrinal Sen's work can be found in European [[collections]].","[[[[Premise]]]]: Calcutta seems to be the only other production center having any pretensions to artistic creativity at all, but ironically you're actually more likely to see the works of Satyajit Ray or Mrinal Sen shown in Europe or North America than in India itself.<SPLIT>[[[[Hypothesis]]]]: [[Higher]] of Mrinal Sen's work can be found in European [[gathered]].",0.006064951419830322,0.5360057950019836,2,1,2,17,"Successful"
"[[[[Premise]]]]: If that investor were willing to pay extra for the security of limited downside, she could buy put options with a strike price of $98, which would lock in her profit on the shares at $18, less whatever the options cost.<SPLIT>[[[[Hypothesis]]]]: THe [[strike]] [[price]] could be $8.","[[[[Premise]]]]: If that investor were willing to pay extra for the security of limited downside, she could buy put options with a strike price of $98, which would lock in her profit on the shares at $18, less whatever the options cost.<SPLIT>[[[[Hypothesis]]]]: THe [[befallen]] [[charges]] could be $8.",0.2009640336036682,0.5410634279251099,0,2,0,69,"Successful"
"[[[[Premise]]]]: 3)  Dare you rise to the occasion, like Raskolnikov, and reject the petty rules that govern lesser men?<SPLIT>[[[[Hypothesis]]]]: [[Would]] you rise up and defeaat all evil lords in the [[town]]?","[[[[Premise]]]]: 3)  Dare you rise to the occasion, like Raskolnikov, and reject the petty rules that govern lesser men?<SPLIT>[[[[Hypothesis]]]]: [[Them]] you rise up and defeaat all evil lords in the [[shing]]?",0.05731850862503052,0.7816936373710632,2,0,2,66,"Successful"
