"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"lovingly photographed in the manner of a golden book sprung to life , stuart little 2 [[manages]] sweetness largely without stickiness .","lovingly photographed in the manner of a golden book sprung to life , stuart little 2 [[administration]] sweetness largely without stickiness .",0.0016106367111206055,0.6043390035629272,1,0,1,36,"Successful"
"[[consistently]] [[clever]] and [[suspenseful]] .","[[ceaselessly]] [[cleverer]] and [[enigmatic]] .",0.0008476972579956055,0.9928483366966248,1,0,1,54,"Successful"
"it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .","it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .",0.8345184922218323,0.8345184922218323,0,0,1,1,"Skipped"
"the story [[gives]] ample [[opportunity]] for large-scale action and suspense , which director shekhar kapur supplies with [[tremendous]] [[skill]] .","the story [[poses]] ample [[hazard]] for large-scale action and suspense , which director shekhar kapur supplies with [[huge]] [[jurisdictional]] .",0.0018685460090637207,0.9866989850997925,1,0,1,171,"Successful"
"red dragon "" never cuts corners .","red dragon "" never cuts corners .",0.9904775619506836,0.9904775619506836,0,0,1,1,"Skipped"
"fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .","fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .",0.9544880390167236,0.9544880390167236,0,0,1,1,"Skipped"
"throws in enough clever and [[unexpected]] [[twists]] to [[make]] the formula feel fresh .","throws in enough clever and [[casual]] [[folds]] to [[pose]] the formula feel fresh .",0.0009317994117736816,0.8906044363975525,1,0,1,97,"Successful"
"weighty and ponderous but every bit as filling as the treat of the title .","weighty and ponderous but every bit as filling as the treat of the title .",0.9483340382575989,0.9483340382575989,0,0,1,1,"Skipped"
"a [[real]] audience-pleaser that [[will]] strike a chord with anyone who's ever waited in a doctor's office , [[emergency]] [[room]] , [[hospital]] bed or [[insurance]] [[company]] [[office]] .","a [[actual]] audience-pleaser that [[desired]] strike a chord with anyone who's ever waited in a doctor's office , [[eventuality]] [[camera]] , [[committal]] bed or [[safer]] [[venture]] [[cabinet]] .",0.0021284818649291992,0.9791596531867981,1,0,1,206,"Successful"
"[[generates]] an enormous [[feeling]] of empathy for its [[characters]] .","[[leeds]] an enormous [[foreboding]] of empathy for its [[specs]] .",0.00045055150985717773,0.7156568169593811,1,0,1,130,"Successful"
"[[exposing]] the ways we fool ourselves is one [[hour]] photo's real [[strength]] .","[[implying]] the ways we fool ourselves is one [[timing]] photo's real [[kraft]] .",0.00044399499893188477,0.9989080429077148,1,0,1,103,"Successful"
"it's up to you to decide whether to admire these people's dedication to their cause or be [[repelled]] by their dogmatism , manipulativeness and narrow , fearful view of american life .","it's up to you to decide whether to admire these people's dedication to their cause or be [[adjourn]] by their dogmatism , manipulativeness and narrow , fearful view of american life .",0.044064879417419434,0.6336185932159424,1,0,1,44,"Successful"
